cargo,nome_empresa,salario,local,regime_trabalista,beneficios,link,erro,datetime_execution,date_execution
Analista de Tecnologia da Qualidade | Qualidade,GWM,Faixa salarial a combinar,Iracemápolis ,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Auxílio academia', 'Auxílio fretado', 'Previdência privada', 'Restaurante interno', 'Seguro de vida', 'Vale-alimentação']",https://www.vagas.com.br/vagas/v2729453/analista-de-tecnologia-da-qualidade-qualidade,,2025-04-25 16:00:06.733112,2025-04-25
"Vendedor(a) Consultivo(a) - Security, TI e Telecom",Veolink,Faixa salarial a combinar,São Paulo,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Seguro de vida', 'Vale-refeição']",https://www.vagas.com.br/vagas/v2721494/vendedor-a-consultivo-a-security-ti-e-telecom,,2025-04-25 16:00:06.733112,2025-04-25
,,,,,[],https://www.vagas.com.br/vagas/v2724959/tecnico-de-suporte-de-ti-i-uam-mooca,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2724959/tecnico-de-suporte-de-ti-i-uam-mooca"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
Auxiliar de Projetos em TI - Prazo Determinado,EY,Faixa salarial R$ 1.675,São Paulo,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Vale-alimentação', 'Vale-refeição', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2720351/auxiliar-de-projetos-em-ti-prazo-determinado,,2025-04-25 16:00:06.733112,2025-04-25
Analista de Compras - Sistema e Serviços TI,Allied,Faixa salarial a combinar,São Paulo,Regime CLT,[],https://www.vagas.com.br/vagas/v2726914/analista-de-compras-sistema-e-servicos-ti,,2025-04-25 16:00:06.733112,2025-04-25
,,,,,[],https://www.vagas.com.br/vagas/v2722100/tecn-suporte-ti-i-una-itabira,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2722100/tecn-suporte-ti-i-una-itabira"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
Analista de Suporte de TI - Júnior (São Paulo),Grupo Direcional,Faixa salarial a combinar,São Paulo ,Regime CLT,[],https://www.vagas.com.br/vagas/v2726493/analista-de-suporte-de-ti-junior-sao-paulo,,2025-04-25 16:00:06.733112,2025-04-25
,,,,,[],https://www.vagas.com.br/vagas/v2706071/programa-de-entry-level-ey-tecnologia-exclusivo-pcd,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2706071/programa-de-entry-level-ey-tecnologia-exclusivo-pcd"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
,,,,,[],https://www.vagas.com.br/vagas/v2712600/analista-de-tecnologia-foco-em-sistema-operacional-e-softwares,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2712600/analista-de-tecnologia-foco-em-sistema-operacional-e-softwares"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
Técnico de Suporte de TI I - Uniritter - Campus Fapa,UniRitter,Faixa salarial a combinar,Porto Alegre,Regime CLT,[],https://www.vagas.com.br/vagas/v2726975/tecnico-de-suporte-de-ti-i-uniritter-campus-fapa,,2025-04-25 16:00:06.733112,2025-04-25
Analista de Infraestrutura de TI - Belo Horizonte/MG,Líder Aviação,Faixa salarial a combinar,Belo Horizonte ,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Participação nos Lucros ou Resultados', 'Previdência privada', 'Vale-alimentação', 'Vale-refeição', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2726866/analista-de-infraestrutura-de-ti-belo-horizonte-mg,,2025-04-25 16:00:06.733112,2025-04-25
,,,,,[],https://www.vagas.com.br/vagas/v2722098/tecn-suporte-ti-i-una-pouso-alegre,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2722098/tecn-suporte-ti-i-una-pouso-alegre"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
Técnico de Suporte de TI - Unicuritiba - Milton Vianna,UniCuritiba,Faixa salarial a combinar,Curitiba ,Regime CLT,[],https://www.vagas.com.br/vagas/v2728644/tecnico-de-suporte-de-ti-unicuritiba-milton-vianna,,2025-04-25 16:00:06.733112,2025-04-25
,,,,,[],https://www.vagas.com.br/vagas/v2729672/consultor-tecnico-pl-sr-p-d-ti-sao-paulo,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2729672/consultor-tecnico-pl-sr-p-d-ti-sao-paulo"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
Consultor Técnico Jr P&d (TI) - São Paulo,FI GROUP,Faixa salarial a combinar,São Paulo ,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Vale-alimentação', 'Vale-refeição', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2729685/consultor-tecnico-jr-p-d-ti-sao-paulo,,2025-04-25 16:00:06.733112,2025-04-25
SP | Expert em Interação | Ativo de Vendas Empresa Produtos de Tecnologia,Teleperformance,Faixa salarial R$ 1.000 a R$ 1.900,São Paulo,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Auxílio creche', 'Convênio com empresas parceiras', 'Desconto em produtos', 'Participação nos Lucros ou Resultados', 'Refeitório', 'Seguro de vida', 'Vale-alimentação', 'Vale-refeição', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2723326/sp-expert-em-interacao-ativo-de-vendas-empresa-produtos-de-tecnologia,,2025-04-25 16:00:06.733112,2025-04-25
,,,,,[],https://www.vagas.com.br/vagas/v2723894/bolsista-graduado-tecnologia-da-informacao-design-propaganda-e-marketing-ict-itau,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2723894/bolsista-graduado-tecnologia-da-informacao-design-propaganda-e-marketing-ict-itau"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
,,,,,[],https://www.vagas.com.br/vagas/v2724763/sp-consultor-de-atendimento-suporte-tecnico-tecnologias-moveis-e-servicos-bilingue,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2724763/sp-consultor-de-atendimento-suporte-tecnico-tecnologias-moveis-e-servicos-bilingue"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
,,,,,[],https://www.vagas.com.br/vagas/v2724753/rn-expert-em-interacao-suporte-tecnico-tecnologias-moveis-e-servicos-bilingue,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2724753/rn-expert-em-interacao-suporte-tecnico-tecnologias-moveis-e-servicos-bilingue"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
"Bolsista Mestre [ciência da Computação, Engenharia, Física e Áreas Correlatas] Ict Itaú",IEL - Inova Talentos,Faixa salarial a combinar,São Paulo ,Temporário,[],https://www.vagas.com.br/vagas/v2729604/bolsista-mestre-ciencia-da-computacao-engenharia-fisica-e-areas-correlatas-ict-itau,,2025-04-25 16:00:06.733112,2025-04-25
,,,,,[],https://www.vagas.com.br/vagas/v2723889/bolsista-mestre-ciencia-da-comp-eng-da-computacao-eng-geral-estatistica-matematica-ict-itau,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2723889/bolsista-mestre-ciencia-da-comp-eng-da-computacao-eng-geral-estatistica-matematica-ict-itau"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
Tecnologista de Bioprocessos Pleno,Grupo SERES,Faixa salarial a combinar,Rio de Janeiro,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Seguro de vida', 'Vale-refeição', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2721227/tecnologista-de-bioprocessos-pleno,,2025-04-25 16:00:06.733112,2025-04-25
Tecnólogo em Automação,SEGULA TECHNOLOGIES,Faixa salarial R$ 5.000 a R$ 5.500,Campo Largo,Temporário,"['Assistência médica', 'Assistência odontológica', 'Auxílio academia', 'Auxílio combustível', 'Seguro de vida', 'Vale-alimentação', 'Vale-refeição']",https://www.vagas.com.br/vagas/v2723495/tecnologo-em-automacao,,2025-04-25 16:00:06.733112,2025-04-25
,,,,,[],https://www.vagas.com.br/vagas/v2728036/tecnologo-de-edificacoes,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2728036/tecnologo-de-edificacoes"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
Auxiliar de Manutenção,RCS TECNOLOGIA,Faixa salarial a combinar,São Paulo,Regime CLT,"['Assistência médica', 'Cesta básica', 'Participação nos Lucros ou Resultados', 'Seguro de vida', 'Vale-refeição', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2721091/auxiliar-de-manutencao,,2025-04-25 16:00:06.733112,2025-04-25
,,,,,[],https://www.vagas.com.br/vagas/v2721098/auxiliar-de-mecanico-eletricista,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2721098/auxiliar-de-mecanico-eletricista"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
Gerente Vendas Nacional B2b,Liotécnica Tecnologia em Alimentos,Faixa salarial a combinar,Embu,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Convênio com empresas parceiras', 'Participação nos Lucros ou Resultados', 'Restaurante interno', 'Seguro de vida', 'Vale-alimentação']",https://www.vagas.com.br/vagas/v2720428/gerente-vendas-nacional-b2b,,2025-04-25 16:00:06.733112,2025-04-25
,,,,,[],https://www.vagas.com.br/vagas/v2724347/executivo-de-contas-b2b,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2724347/executivo-de-contas-b2b"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
